Date,Open,High,Low,Close,Adj Close,Volume
2022-05-05,2375.050049,2495.000000,2361.050049,2450.500000,2450.270752,416552
2022-05-06,2375.000000,2476.000000,2370.149902,2437.649902,2437.421875,359823
2022-05-09,2400.000000,2423.399902,2300.000000,2375.250000,2375.027832,305943
2022-05-10,2376.149902,2438.000000,2301.000000,2360.649902,2360.428955,469693
2022-05-11,2345.000000,2454.000000,2236.050049,2355.050049,2354.829590,508758
2022-05-12,2362.500000,2398.000000,2166.050049,2294.100098,2293.885498,602564
2022-05-13,2311.000000,2490.000000,2311.000000,2369.100098,2368.878418,554235
2022-05-16,2340.000000,2424.800049,2312.350098,2388.550049,2388.326416,154088
2022-05-17,2414.149902,2518.000000,2385.149902,2500.500000,2500.266113,371040
2022-05-18,2543.000000,2561.949951,2460.000000,2485.699951,2485.467285,412949
2022-05-19,2419.000000,2449.899902,2350.000000,2378.500000,2378.277344,210243
2022-05-20,2449.800049,2460.000000,2355.800049,2380.350098,2380.127441,444435
2022-05-23,2400.000000,2434.699951,2311.199951,2331.600098,2331.381836,292937
2022-05-24,2377.000000,2394.949951,2290.000000,2328.250000,2328.032227,295781
2022-05-25,2315.000000,2328.000000,2185.699951,2216.949951,2216.742432,304532
2022-05-26,2230.000000,2438.600098,2145.000000,2391.350098,2391.126221,365372
2022-05-27,2440.000000,2485.750000,2360.000000,2456.449951,2456.219971,308232
2022-05-30,2468.000000,2610.000000,2465.050049,2589.500000,2589.257568,357491
2022-05-31,2580.000000,2624.000000,2335.899902,2397.899902,2397.675537,1523242
2022-06-01,2380.899902,2458.600098,2276.000000,2325.899902,2325.682129,705859
2022-06-02,2330.000000,2495.250000,2295.149902,2445.850098,2445.621338,487748
2022-06-03,2467.000000,2467.000000,2353.100098,2390.449951,2390.226318,388286
2022-06-06,2379.000000,2511.199951,2284.000000,2480.100098,2479.867920,266574
2022-06-07,2480.000000,2585.600098,2401.000000,2498.949951,2498.716064,430802
2022-06-08,2480.149902,2524.899902,2426.199951,2447.350098,2447.121094,268958
2022-06-09,2429.000000,2515.000000,2411.300049,2498.050049,2497.816162,281257
2022-06-10,2430.000000,2485.000000,2370.899902,2398.300049,2398.075684,318811
2022-06-13,2335.100098,2407.449951,2321.300049,2337.550049,2337.331299,287801
2022-06-14,2325.000000,2400.000000,2302.000000,2374.699951,2374.477783,268064
2022-06-15,2383.699951,2419.949951,2332.000000,2351.800049,2351.580078,311850
2022-06-16,2375.000000,2410.000000,2241.899902,2376.500000,2376.277588,478333
2022-06-17,2330.000000,2353.250000,2062.250000,2149.050049,2148.848877,1100784
2022-06-20,2152.000000,2177.000000,1948.000000,1989.199951,1989.013794,559207
2022-06-21,2000.500000,2387.000000,1980.150024,2382.899902,2382.677002,1049282
2022-06-22,2380.000000,2458.800049,2231.000000,2270.800049,2270.587646,1629448
2022-06-23,2290.000000,2320.000000,2195.850098,2264.649902,2264.437988,703032
2022-06-24,2284.899902,2335.000000,2265.000000,2291.600098,2291.385742,323814
2022-06-27,2301.949951,2319.850098,2262.199951,2289.800049,2289.585693,200440
2022-06-28,2285.000000,2410.000000,2230.000000,2394.399902,2394.175781,474019
2022-06-29,2350.000000,2464.000000,2330.750000,2347.699951,2347.480225,535713
2022-06-30,2424.000000,2445.000000,2371.550049,2392.899902,2392.676025,627112
2022-07-01,2392.550049,2442.949951,2370.000000,2389.000000,2388.776367,436503
2022-07-04,2405.600098,2429.899902,2377.000000,2396.800049,2396.575684,322319
2022-07-05,2400.050049,2434.800049,2362.449951,2410.449951,2410.224365,355962
2022-07-06,2426.800049,2487.800049,2410.449951,2475.350098,2475.118408,257988
2022-07-07,2499.850098,2546.000000,2465.050049,2485.750000,2485.517334,160658
2022-07-08,2490.000000,2564.000000,2470.500000,2540.800049,2540.562256,230639
2022-07-11,2550.000000,2775.000000,2502.149902,2716.649902,2716.395752,974385
2022-07-12,2690.000000,2844.949951,2685.050049,2797.550049,2797.288330,931697
2022-07-13,2830.000000,2867.500000,2646.000000,2672.100098,2671.850098,715239
